2,85,0
234,202,0
311,85,0
110,515,0
287,177,0
177,300,0
248,247,0
285,512,0
13,577,0
47,74,0
286,412,0
22,404,0
298,147,0
287,500,0
246,42,0
294,384,0
215,211,0
275,404,0
208,293,0
118,540,0
144,102,0
214,577,0
88,577,0
294,284,0
215,254,0
286,164,0
270,85,0
139,192,0
246,366,0
271,293,0
181,352,0
46,569,0
256,280,0
296,309,0
46,260,0
72,85,0
234,115,0
233,293,0
247,393,0
309,164,0
272,253,0
308,314,0
29,165,0
45,282,0
117,85,0
29,16,0
234,499,0
300,15,0
285,177,0
296,518,0
217,192,0
303,146,0
262,228,0
45,107,0
296,228,0
47,165,0
248,474,0
40,246,0
22,352,0
302,463,0
236,404,0
291,388,0
77,577,0
237,388,0
298,205,0
286,89,0
303,100,0
308,160,0
215,488,0
294,121,0
28,72,0
46,252,0
102,293,0
268,352,0
178,527,0
285,136,0
191,85,0
116,85,0
303,289,0
309,59,0
30,256,0
297,9,0
215,180,0
21,102,0
234,59,0
255,445,0
175,253,0
41,286,0
286,180,0
248,253,0
47,346,0
260,569,0
225,577,0
177,287,0
207,325,0
28,209,0
247,515,0
183,577,0
272,141,0
81,404,0
234,209,0
155,588,0
177,378,0
169,388,0
238,404,0
197,164,0
28,121,0
188,102,0
46,543,0
301,384,0
259,85,0
49,102,0
285,219,0
302,393,0
154,293,0
53,102,0
262,553,0
30,100,0
241,325,0
246,581,0
290,358,0
32,577,0
308,247,0
215,298,0
302,499,0
297,515,0
176,325,0
46,253,0
260,552,0
28,102,0
286,358,0
167,388,0
215,203,0
297,112,0
47,386,0
35,293,0
248,323,0
257,352,0
309,50,0
301,139,0
303,192,0
254,125,0
100,217,0
29,378,0
62,325,0
303,508,0
57,192,0
101,420,0
248,72,0
298,287,0
179,515,0
248,444,0
298,300,0
3,102,0
215,575,0
194,588,0
201,217,0
31,420,0
248,407,0
303,317,0
100,293,0
50,588,0
266,352,0
46,516,0
47,521,0
309,286,0
246,221,0
302,439,0
219,293,0
